machine_id,maintenance_duration,available_from,available_to,maintenance_priority
M0001,3,09:00,18:00,Medium
M0002,4,10:00,19:00,Medium
M0003,1,08:00,17:00,Low
M0004,3,08:00,19:00,Medium
M0005,3,08:00,19:00,Medium
M0006,4,08:00,18:00,Medium
M0007,1,11:00,19:00,Medium
M0008,1,08:00,18:00,Medium
M0009,3,11:00,16:00,Medium
M0010,2,11:00,16:00,High
M0011,3,08:00,18:00,High
M0012,3,08:00,16:00,High
M0013,3,09:00,17:00,High
M0014,3,10:00,19:00,Low
M0015,4,08:00,17:00,Low
M0016,1,09:00,19:00,Low
M0017,4,09:00,16:00,Medium
M0018,4,10:00,17:00,High
M0019,4,11:00,16:00,Low
M0020,3,08:00,19:00,High
M0021,2,10:00,18:00,Low
M0022,1,08:00,18:00,High
M0023,2,09:00,17:00,Medium
M0024,4,09:00,16:00,Low
M0025,4,11:00,16:00,Medium
M0026,2,09:00,17:00,Low
M0027,2,09:00,18:00,Low
M0028,2,10:00,19:00,Medium
M0029,4,08:00,17:00,High
M0030,4,08:00,19:00,Medium
M0031,1,10:00,18:00,Medium
M0032,1,11:00,16:00,Medium
M0033,4,08:00,18:00,High
M0034,2,09:00,17:00,Low
M0035,2,08:00,16:00,Medium
M0036,1,09:00,17:00,Low
M0037,4,11:00,17:00,Low
M0038,1,10:00,18:00,Medium
M0039,1,08:00,17:00,Low
M0040,3,10:00,18:00,Medium
M0041,3,08:00,16:00,High
M0042,3,09:00,18:00,Low
M0043,2,10:00,16:00,Medium
M0044,4,08:00,18:00,Low
M0045,4,09:00,19:00,High
M0046,4,10:00,19:00,Medium
M0047,4,10:00,17:00,High
M0048,3,08:00,18:00,Medium
M0049,2,08:00,18:00,Low
M0050,2,08:00,16:00,Medium
M0051,3,09:00,17:00,High
M0052,2,08:00,18:00,Medium
M0053,3,10:00,17:00,High
M0054,4,10:00,19:00,High
M0055,3,08:00,18:00,Low
M0056,4,08:00,18:00,Low
M0057,4,11:00,17:00,Medium
M0058,1,10:00,18:00,Medium
M0059,3,09:00,17:00,High
M0060,1,11:00,18:00,High
M0061,3,08:00,16:00,Medium
M0062,3,08:00,17:00,Low
M0063,1,10:00,18:00,High
M0064,1,08:00,19:00,Low
M0065,3,09:00,18:00,High
M0066,2,10:00,19:00,Medium
M0067,4,08:00,19:00,Medium
M0068,1,10:00,16:00,Low
M0069,4,08:00,17:00,Medium
M0070,2,08:00,18:00,Medium
M0071,2,08:00,16:00,Medium
M0072,2,09:00,18:00,Low
M0073,1,09:00,19:00,High
M0074,2,10:00,17:00,High
M0075,1,08:00,18:00,Low
M0076,2,08:00,18:00,Low
M0077,4,09:00,19:00,Low
M0078,4,08:00,18:00,Medium
M0079,3,09:00,18:00,Medium
M0080,4,08:00,19:00,Medium
M0081,3,10:00,16:00,Low
M0082,4,08:00,19:00,Medium
