machine_id,machine_type,temperature,vibration,rpm,current,operating_hours,machine_age,previous_failures,failure,failure_cost
M0001,Compressor,66.31273753525872,5.037755235058235,1361.8991441465805,9.04258857399652,1701,11,2,1,165316
M0002,Loom,73.7091994867843,3.146776109828668,1459.8394667696273,11.147534706213609,11111,13,0,0,216519
M0003,CNC,70.77211078084056,3.732556326830022,1504.8736485538288,15.584288585630812,9113,6,2,0,104418
M0004,Loom,67.68660829134957,6.567202276554159,1624.698678657612,14.683941562721618,7825,14,3,1,349334
M0005,Loom,55.51430653465626,4.703886738967976,1534.5407847789668,7.8814216455568085,11652,6,1,1,76014
M0006,Pump,70.65762028563195,1.9110996390287398,1544.6868024850623,13.054439701056605,13454,8,3,1,254071
M0007,CNC,87.5842939577004,6.154612082235366,1460.0591953515234,6.06532425187557,8867,11,0,0,288989
M0008,CNC,81.14504055385973,3.297340646029811,1619.2550974244205,12.14080470618111,5264,4,2,0,231350
M0009,CNC,84.11823951967276,7.871935997191581,1499.1715355151398,17.69330105023793,8968,3,0,0,437707
M0010,Loom,58.86541188282578,6.444086518286367,1346.6694507791715,9.156321848193041,9146,14,1,1,313924
M0011,Compressor,53.12474215689703,3.694820587814248,1618.4043964150228,9.497030863525254,13516,7,0,0,240330
M0012,CNC,63.49055695880422,6.805829451123204,1533.7483927046833,14.292089344718578,8776,5,2,1,92192
M0013,Loom,65.66869894746434,4.622139918949326,1396.8347174645821,7.371595454371063,9558,2,1,0,417019
M0014,Pump,78.13029822165139,6.034992615219995,1392.4608439120907,10.101734910344883,9719,2,1,1,411273
M0015,Compressor,44.69042444342217,5.372519071130054,1485.5890654168913,13.789323412745258,5886,11,2,1,93923
M0016,Pump,83.35460383352736,2.9765580210164275,1505.5821754321103,10.09714245693179,12910,6,2,1,139196
M0017,Compressor,63.10390521705213,3.3416103018285686,1473.6750718757448,11.292090038367085,12801,8,2,1,52395
M0018,Loom,59.87742716063096,6.35392947164609,1487.357040813146,14.232557130945104,4935,1,0,0,414593
M0019,Motor,52.85474749687799,3.8974044022082266,1653.9948849491657,13.264638250609684,5619,11,3,0,433891
M0020,Compressor,45.141719937610766,3.773432766164406,1578.5851782681864,12.800455188886206,6191,6,0,0,278456
M0021,Pump,74.87804700754297,2.7807793571711645,1472.876270951803,10.982633162189885,14956,12,0,0,458995
M0022,Loom,65.87981560626085,5.26247831806823,1562.957269692098,13.110183345806867,11345,2,3,1,121028
M0023,Compressor,49.52046920310735,8.212544854637661,1326.0971315766953,11.62880195970073,7875,2,2,1,472938
M0024,Motor,49.459054735236606,2.5784407543423087,1497.751245993617,13.373416829777355,11100,7,2,1,450327
M0025,Motor,60.97058360851846,4.543595022010964,1667.1167619679732,10.509203924646066,12204,10,3,1,292463
M0026,CNC,85.02825830347271,7.041996999747773,1423.8344925529152,11.452293076861377,8856,1,3,1,191056
M0027,CNC,61.884903783636744,4.3566454957577125,1348.2839285657099,9.030126622343959,6401,6,0,0,405320
M0028,Pump,46.962284562582724,5.314269233249521,1371.7493333688328,11.894977169981292,13420,14,1,0,253400
M0029,Compressor,62.05108323096867,2.587691649335617,1319.2440355189133,9.566997409113466,4022,7,3,0,305315
M0030,Compressor,61.727317163027955,5.270952774973767,1355.8285710246755,8.65786064951402,12675,14,0,1,339068
M0031,CNC,35.0,4.163140322991812,1405.5390281691966,12.775983443566165,11912,8,1,1,495919
M0032,Compressor,64.34846160178625,6.274313992223753,1281.331957698563,12.638219327572981,6738,7,2,0,344721
M0033,Compressor,62.22878563749586,6.637294892816552,1451.8742000739524,14.348621204845717,6984,6,2,0,188783
M0034,Motor,73.35447637776102,9.161214555633505,1558.2732608543977,10.706623291274703,2770,9,0,1,135548
M0035,CNC,87.18747313934415,5.543339711784436,1341.0692583823695,13.224158540510267,13305,13,0,1,307288
